timestamp,temperature_celsius,humidity_percent
2024-01-01 00:00:00,26.92,43.06
2024-01-01 00:05:00,18.36,54.99
2024-01-01 00:10:00,19.54,53.01
2024-01-01 00:15:00,20.33,41.04
2024-01-01 00:20:00,27.06,41.65
2024-01-01 00:25:00,27.27,64.04
2024-01-01 00:30:00,25.39,61.23
2024-01-01 00:35:00,27.41,65.35
2024-01-01 00:40:00,30.78,62.11
2024-01-01 00:45:00,24.07,50.93
2024-01-01 00:50:00,18.02,66.95
2024-01-01 00:55:00,26.62,57.88
2024-01-01 01:00:00,20.6,67.78
2024-01-01 01:05:00,28.12,38.09
2024-01-01 01:10:00,27.63,35.02
2024-01-01 01:15:00,23.43,63.71
2024-01-01 01:20:00,31.62,55.44
2024-01-01 01:25:00,28.91,45.08
2024-01-01 01:30:00,25.23,41.6
2024-01-01 01:35:00,21.43,58.08
2024-01-01 01:40:00,25.12,43.5
2024-01-01 01:45:00,25.44,65.97
2024-01-01 01:50:00,29.9,55.01
2024-01-01 01:55:00,19.76,50.22
2024-01-01 02:00:00,19.88,59.93
2024-01-01 02:05:00,21.27,37.24
2024-01-01 02:10:00,28.72,49.96
2024-01-01 02:15:00,30.54,62.09
2024-01-01 02:20:00,22.37,48.9
2024-01-01 02:25:00,29.39,35.64
2024-01-01 02:30:00,24.56,67.2
2024-01-01 02:35:00,31.14,38.54
2024-01-01 02:40:00,20.62,40.71
2024-01-01 02:45:00,21.56,51.88
2024-01-01 02:50:00,22.47,51.12
2024-01-01 02:55:00,29.68,64.58
2024-01-01 03:00:00,21.66,57.2
2024-01-01 03:05:00,29.74,59.12
2024-01-01 03:10:00,18.52,38.51
2024-01-01 03:15:00,26.44,35.17
2024-01-01 03:20:00,24.13,66.39
2024-01-01 03:25:00,18.92,67.84
2024-01-01 03:30:00,23.73,45.51
2024-01-01 03:35:00,24.43,45.5
2024-01-01 03:40:00,19.19,69.64
2024-01-01 03:45:00,25.45,68.66
2024-01-01 03:50:00,29.8,66.86
2024-01-01 03:55:00,23.06,48.41
2024-01-01 04:00:00,22.89,69.59
2024-01-01 04:05:00,26.88,56.56
2024-01-01 04:10:00,21.5,60.19
2024-01-01 04:15:00,26.08,50.22
2024-01-01 04:20:00,21.07,54.05
2024-01-01 04:25:00,21.59,36.24
2024-01-01 04:30:00,22.97,69.55
2024-01-01 04:35:00,24.51,51.27
2024-01-01 04:40:00,24.08,38.06
2024-01-01 04:45:00,22.17,59.34
2024-01-01 04:50:00,21.86,57.65
2024-01-01 04:55:00,24.41,39.77
2024-01-01 05:00:00,31.85,54.31
2024-01-01 05:05:00,21.97,49.57
2024-01-01 05:10:00,18.14,66.1
2024-01-01 05:15:00,20.06,48.94
2024-01-01 05:20:00,30.42,38.25
2024-01-01 05:25:00,22.87,47.12
